__v,_id,courier,courierCode,createdAt,inTransit,isArchived,isDelivered,isReturned,isShipped,method,otn,package,packaging.height,packaging.length,packaging.name,packaging.width,products,weight
0,623d9b6f36feab83f209c0b8,ENVIALIA,,2022-03-25T10:37:35.160Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,X1W6AFM1648204653P1,5eba769e5546c20034a52765,10,20,Small Box,20,"[{""$oid"":""623d9b6e613f77f50d6e956b""},{""$oid"":""623d9b6e613f77216e6e956c""},{""$oid"":""623d9b6e613f7739456e956d""},{""$oid"":""623d9b6e613f77a3f46e956e""},{""$oid"":""623d9b6e613f7704216e956f""},{""$oid"":""623d9b6e613f775d706e9570""},{""$oid"":""623d9b6e613f77782c6e9571""},{""$oid"":""623d9b6e613f776b206e9572""},{""$oid"":""623d9b6e613f77e6146e9573""},{""$oid"":""623d9b6e613f77141a6e9574""},{""$oid"":""623d9b6e613f77604c6e9575""},{""$oid"":""623d9b6e613f77db7a6e9576""},{""$oid"":""623d9b6e613f7799036e9577""},{""$oid"":""623d9b6e613f773f566e9578""},{""$oid"":""623d9b6e613f7744966e9579""},{""$oid"":""623d9b6e613f77002a6e957a""}]",0.668
0,623d9b6f45d546786189874c,CORREOS,68300050465434801380071,2022-03-25T10:37:35.022Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,W3GYWJ31648129810P1,5d6ce3283c65080035386dfd,2,16,Sobre Holafly,22,"[{""$oid"":""623d9b6e063026343c0573bf""},{""$oid"":""623d9b6e06302683f50573c0""},{""$oid"":""623d9b6e063026c5560573c1""}]",0.3
0,623d9b72613f770a076e957f,CORREOS,32300050462527901048591,2022-03-25T10:37:38.873Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,2P91WAY1648204647P1,619e0858de38db0034cd5e1b,8,27,Caja normal,19,"[{""$oid"":""623d9b676baa3959031c5fb6""}]",0.685368
0,623d9b72918f3f4b6cd6288d,TIPSA,4000346430,2022-03-25T10:37:38.793Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4NAS1648204656P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b7223963711d7e1b654""}]",7
0,623d9b72f3909f7b7aa5e10a,TIPSA,4000346429,2022-03-25T10:37:38.648Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z42ZM1648204656P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b7223b493a2b63c2534""}]",6
0,623d9b73c58f3c3a7b38525d,TIPSA,4000346431,2022-03-25T10:37:39.320Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4VEX1648204657P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b7234b237a48babbb98""}]",5
0,623d9b75f7a949e531d02e73,ENVIALIA,,2022-03-25T10:37:41.039Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,Z73LP7E1648204618P1,5ec4fbb21569e00034a08ccb,1,30,Sobre,40,"[{""$oid"":""623d9b4a318ff9f423f92138""}]",1.8
0,623d9b7745d54621c989874e,TIPSA,4000346432,2022-03-25T10:37:43.404Z,TRUE,FALSE,FALSE,FALSE,TRUE,tipsa premium,26Z465N1648204661P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b7633894f908e9d9e83""}]",3.64
0,623d9b785e1d94338d2ec8fa,TIPSA,4000346433,2022-03-25T10:37:44.310Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z45CT1648204662P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b77887bdee2cf6ac3d4""}]",3.9
0,623d9b7cf7006f43dda75618,TIPSA,4000346434,2022-03-25T10:37:48.663Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z46DQ1648204666P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b7c34b2373fd7abbbad""}]",6
0,623d9b7ef7006f2e32a7561a,TIPSA,4000346435,2022-03-25T10:37:50.031Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4QFZ1648204668P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b7d24b1e907c9da84ae""}]",7
0,623d9b826baa39bd8c1c5fbe,TIPSA,4000346436,2022-03-25T10:37:54.319Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4E7E1648204672P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b81f3909f0310a5e10f""}]",27
0,623d9b831f7d7ac36e594db7,TIPSA,4000346437,2022-03-25T10:37:55.166Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4PHV1648204673P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b829c1daa644471a118""}]",2
0,623d9b879c1daa42fa71a11d,TIPSA,4000346438,2022-03-25T10:37:59.236Z,TRUE,FALSE,FALSE,FALSE,TRUE,tipsa premium,26Z44RV1648204677P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b862ff9d8c532df89ef""}]",67
0,623d9b8a57f54f571cdcfdb8,ENVIALIA,,2022-03-25T10:38:02.072Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,X1W6BV11648204680P1,5eba769e5546c20034a52765,10,20,Small Box,20,"[{""$oid"":""623d9b89f7a9499005d02e75""}]",0.668
0,623d9b8b9a24b51c22c4ae64,TIPSA,4000346439,2022-03-25T10:38:03.559Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4Q5W1648204681P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b8a918f3fc60ad62892""}]",8
0,623d9b8c34b237ebd1abbbb2,TIPSA,4000346440,2022-03-25T10:38:04.433Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4GXT1648204682P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b8b318ff96363f9213e""}]",1.3
0,623d9b9034b2370940abbbb7,TIPSA,4000346441,2022-03-25T10:38:08.707Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4N9F1648204687P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b9006302664480573c7""}]",75
0,623d9b9123b493415f3c2539,CORREOS,32300050462524901280433,2022-03-25T10:38:09.624Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,L6WM7LW1648126168P1,61b750ce846d2d0035122a84,8,31,Packaging mediano,23,"[{""$oid"":""623c68f8176910c2ae767c63""}]",0.952568
0,623d9b916baa395d121c5fc3,TIPSA,4000346442,2022-03-25T10:38:09.916Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z43891648204688P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b91dc97491ebbcfac63""}]",3.9
0,623d9b9257f54f4e52dcfdbd,ENVIALIA,,2022-03-25T10:38:10.393Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,X1W6SC91648204688P1,5eba769e5546c20034a52765,10,20,Small Box,20,"[{""$oid"":""623d9b92f7a9493d77d02e79""},{""$oid"":""623d9b92f7a9490f69d02e7a""},{""$oid"":""623d9b92f7a949e060d02e7b""},{""$oid"":""623d9b92f7a949f6f0d02e7c""},{""$oid"":""623d9b92f7a949106bd02e7d""}]",0.668
0,623d9b9445d5462131898763,ENVIALIA,,2022-03-25T10:38:12.576Z,FALSE,FALSE,TRUE,FALSE,FALSE,envialia entrega antes de las 19:00,X1W6LN81648204690P1,5eba769e5546c20034a52765,10,20,Small Box,20,"[{""$oid"":""623d9b943e4302226867d6a8""}]",0.668
0,623d9b95f7006f4f8aa75622,TIPSA,4000346443,2022-03-25T10:38:13.406Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4L971648204691P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b9406302653c60573cc""}]",6
0,623d9b96e88d8b2e633d7626,TIPSA,4000346444,2022-03-25T10:38:14.934Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z47DU1648204693P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b9636feab66b009c0c0""}]",4
0,623d9b972396373999e1b659,SEUR,3284149453726,2022-03-25T10:38:15.422Z,FALSE,FALSE,TRUE,FALSE,FALSE,seur 24,79ZYWUQ1648134604P1,5ecfad8582057700347e252c,10,20,Small Box,20,"[{""$oid"":""623c89cc296ec6517e6741ca""},{""$oid"":""623c89cc296ec652d56741cb""}]",0.6666666667
0,623d9b99613f7706756e9581,CORREOS,32300050465589301370013,2022-03-25T10:38:17.555Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,W3GYJTE1647950402P1,5d6ce3283c65080035386dfd,2,16,Sobre Holafly,22,"[{""$oid"":""6239ba423b90340a0c5e3e37""},{""$oid"":""6239ba423b9034b0dc5e3e38""}]",0.2
0,623d9b9b613f776ac76e9583,TIPSA,4000346445,2022-03-25T10:38:19.142Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4MY81648204697P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b9ad9c45a4750be2ac7""}]",27
0,623d9b9c318ff98867f92142,TIPSA,4000346446,2022-03-25T10:38:20.737Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z43HR1648204699P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9b9c5e1d9453c62ec8ff""}]",6
0,623d9ba0318ff93015f92147,TIPSA,4000346447,2022-03-25T10:38:24.599Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z47PF1648204703P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9ba0f3909fc219a5e114""}]",11.1
0,623d9ba13850570143e8e016,TIPSA,4000346448,2022-03-25T10:38:25.894Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4NNU1648204704P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9ba16baa395d4c1c5fc8""}]",50
