CODCost,_id,cost,courier,courier_id,createdAt,customCourierCost,customCourierVatCost,deliverDate,estimatedDeliverDate,finalWeight,insuranceCost,isAdjusted,isCompared,isPickUpDone,isPickUpFailed,isReturn,isShipped,method,mrr,otn,packages,pickUpCode,pickupDate,processDate,vatCost,weight
0,623d6d5a45d54638af8982a9,4.5,gls,12,2022-03-25T07:20:58.644Z,0.09,0,2022-03-28T11:10:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,standard,null,YGVP4NL1648192724S1,"[{""$oid"":""623d6d5945d546295d8982a8""}]",,2022-03-27T14:17:00.000Z,2022-03-25T07:36:48.288Z,0,2.7
0,623d6d5b45d546165f8982ab,14.5,gls,12,2022-03-25T07:20:59.403Z,0.09,0,2022-03-29T13:05:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,standard,null,YGVPE351648192724S1,"[{""$oid"":""623d6d5a45d54611158982aa""}]",,2022-03-25T20:39:00.000Z,2022-03-25T07:37:01.305Z,0,2.8
0,623d6d5edc974981c7cfa7ba,0.09,envialia,367,2022-03-25T07:21:02.372Z,0.05,0,2022-03-28T12:22:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W641U1648192858S1,"[{""$oid"":""623d6d5cdc974917f5cfa7b7""},{""$oid"":""623d6d5ddc97495a1ecfa7b9""}]",null,2022-03-25T16:36:00.000Z,2022-03-25T07:21:03.840Z,0,1.336
0,623d6d6c887bde2a156abf77,1,ups,525,2022-03-25T07:21:16.020Z,0.05,0,2022-03-31T10:52:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4HGL1648192873S1,"[{""$oid"":""623d6d6a887bde2d066abf75""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:19.915Z,0,1
0,623d6d6c887bde7ef36abf78,1,ups,525,2022-03-25T07:21:16.171Z,0.05,0,2022-03-31T11:15:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4FQ81648192873S1,"[{""$oid"":""623d6d6b887bdea1706abf76""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:19.936Z,0,25
0,623d6d6c9c4aa01fde244b94,2.93,seur,258,2022-03-25T07:21:16.554Z,0.09,0,2022-03-28T14:19:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,7ZL3L931648069212S1,"[{""$oid"":""623d6d6b9c4aa07d20244b93""}]",null,2022-03-25T21:55:00.000Z,2022-03-25T07:21:17.849Z,0,0.6666666667
0,623d6d6f36feab126d09bbcd,0.09,envialia,367,2022-03-25T07:21:19.124Z,0.05,0,2022-03-29T13:38:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6N7Q1648192876S1,"[{""$oid"":""623d6d6e36feabcbaa09bbcc""}]",null,2022-03-25T15:47:00.000Z,2022-03-25T07:21:20.370Z,0,0.668
0,623d6d709a24b5e796c4aa51,3.99,correos,1,2022-03-25T07:21:20.709Z,,,2022-03-28T13:54:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,express,null,4Z9WVMD1648145145S1,"[{""$oid"":""623d6d62f3909fe479a5dcd4""}]",114145719,2022-03-25T10:14:21.000Z,2022-03-25T07:22:01.839Z,0.798,2.805
0,623d6d77f7a94966a0d02a6f,1,ups,525,2022-03-25T07:21:27.238Z,0.05,0,2022-03-29T14:21:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4S151648192884S1,"[{""$oid"":""623d6d76f7a94941a6d02a6e""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:30.301Z,0,7
0,623d6d77c58f3c6e27384e05,1,ups,525,2022-03-25T07:21:27.900Z,0.05,0,2022-03-29T14:44:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4JUV1648192885S1,"[{""$oid"":""623d6d76c58f3cefc9384e04""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:31.039Z,0,6
