_id,barcode,description,discountPrice,hsCode,name,originalId,packaged,picked,price,quantity,sku,variant,vat,weight
623d640f36feab9a6309ba96,,,,,Chocolate Negro 92% Panamá con azúcar de coco BIO Vivani 80g,,TRUE,FALSE,2.9,1,241392,,10,
623d640f36feab9c7d09ba97,,,,,Chocolate Negro 92% Panamá con azúcar de coco BIO Vivani 80g,,TRUE,FALSE,2.9,1,241392,,10,
623d640f36feaba61e09ba95,,,,,Chocolate Negro 92% Panamá con azúcar de coco BIO Vivani 80g,,TRUE,FALSE,2.9,1,241392,,10,
623d640f36feabaa0209ba9b,,,,,Chocolate Negro 92% Panamá con azúcar de coco BIO Vivani 80g,,TRUE,FALSE,2.9,1,241392,,10,
623d640f36feababcd09ba99,,,,,Chocolate Negro 92% Panamá con azúcar de coco BIO Vivani 80g,,TRUE,FALSE,2.9,1,241392,,10,
623d640f36feabd50e09ba92,,,,,Soja Texturizada fina El Granero Integral 250 g,,TRUE,FALSE,3.65,1,66793,,10,
623d64146baa3917f31c5acb,,,,,"Bálsamo labial frutos rojos Bio, Cosnature",,TRUE,FALSE,2.24,1,115682,,23,
623d64146baa392c311c5ace,,,,,Escurreplatos doble desmontable de acero inoxidable Duett,,TRUE,FALSE,45.74,1,162361,,23,
623d64146baa395c9a1c5acd,,,,,"Recipiente de envasado al vacío Foodsaver (0,7 L)",,TRUE,FALSE,8.49,1,161516,,23,
623d64146baa39613a1c5ac9,,,,,"Bolsa envasadora al vacío FoodSaver, 48 unidades",,TRUE,FALSE,8.39,1,103354,,23,
623d64146baa3975b41c5ac8,,,,,Kit siembra Planta carnívora Venus Garden Pocket,,TRUE,FALSE,8.27,1,44668,,13,
623d64146baa39cb111c5aca,,,,,"Bolsa envasadora al vacío FoodSaver, 48 unidades",,TRUE,FALSE,8.39,1,103354,,23,
623d64146baa39fa551c5acc,,,,,"Envasadora al vacío FFS010X, FoodSaver",,TRUE,FALSE,59.04,1,117623,,23,
623d64233e43020e5367d148,,,,,Semillas ecológicas de Lechuga Hoja De Roble (Red Salad Bowl),,TRUE,FALSE,3.95,1,89699,,10,
623d64233e4302174c67d147,,,,,Semillas ecológicas de Espinaca Matador,,TRUE,FALSE,3.95,1,89687,,10,
623d64233e4302454e67d146,,,,,Sustrato Universal (20 L),,TRUE,FALSE,5,1,8810,,21,
623d64233e430246a667d142,,,,,Semillas ecológicas de  Orégano,,TRUE,FALSE,1.65,1,6623,,10,
623d64233e430258c167d143,,,,,Semillas ecológicas de  Perejil común 2 hoja grande,,TRUE,FALSE,1.65,1,6625,,10,
623d64233e4302604267d141,,,,,Semillas ecológicas de  Albahaca genovèse hoja grande,,TRUE,FALSE,1.65,1,6606,,10,
623d64233e4302777767d145,,,,,Semillas de  Valeriana Canónigos Verte de Louviers,,TRUE,FALSE,1.45,1,6985,,10,
623d64233e4302b72667d144,,,,,Semillas ecológicas de  Rabanito redondo rojo saxa,,TRUE,FALSE,1.65,1,6628,,10,
623d64640630260f5b056e8a,,,,,Lata de semillas deseos flores,,TRUE,FALSE,16.19,1,142011,,10,
623d646406302639f5056e8b,,,,,Estropajo de Cocina Iberica Esponjas,,TRUE,FALSE,2.59,1,217309,,21,
623d64640630265a98056e88,,,,,Lata de semillas deseos flores,,TRUE,FALSE,16.19,1,142011,,10,
623d6464063026b0b7056e89,,,,,Lata de semillas deseos flores,,TRUE,FALSE,16.19,1,142011,,10,
623d647057f54f08a4dcf861,,,,,Sopa miso instant tradicional Lima 4x10gr,,TRUE,FALSE,5.31,1,9093,,10,
623d647057f54f26a8dcf864,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54f2e8ddcf86b,,,,,"Bebida de Soja Nature sin Azúcares NaturGreen, 1 L",,TRUE,FALSE,1.79,1,120711,,10,
623d647057f54f2fa6dcf873,,,,,Tostadas ligeras de trigo sarraceno BIO Santiveri 100 g,,TRUE,FALSE,1.94,1,161698,,10,
623d647057f54f3126dcf86f,,,,,"Bebida de Soja Nature sin Azúcares NaturGreen, 1 L",,TRUE,FALSE,1.79,1,120711,,10,
623d647057f54f402edcf862,,,,,"Hummus de garbanzos Vegetalia, 180 g",,TRUE,FALSE,2.91,1,34230,,10,
